station_id,station_name,date,temperature,region
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-27,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-28,80.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-29,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-06-30,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-01,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-02,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-03,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-04,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-05,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-06,89.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-07,90.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-08,87.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-09,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-10,87.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-11,87.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-12,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-13,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-14,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-15,88.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-16,91.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-17,90.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-18,91.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-19,89.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-20,88.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-21,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-22,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-23,80.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-24,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-25,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-26,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-27,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-28,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-29,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-30,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-07-31,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-01,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-02,80.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-03,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-04,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-05,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-06,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-07,86.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-08,85.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-09,85.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-10,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-11,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-12,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-13,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-14,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-15,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-16,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-17,85.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-18,87.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-19,89.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-20,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-21,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-22,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-23,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-24,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-25,84.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-26,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-27,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-28,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-29,87.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-30,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-08-31,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-01,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-02,80.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-03,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-04,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-05,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-06,74.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-07,76.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-08,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-09,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-10,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-11,80.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-12,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-13,80.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-14,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-15,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-16,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-17,68.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-18,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-19,76.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-20,81.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-21,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-22,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-23,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-24,82.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-25,83.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-26,68.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-27,66.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-28,73.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-29,71.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-09-30,73.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-01,73.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-02,69.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-03,68.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-04,79.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-05,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-06,78.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-07,72.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-08,59.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-09,53.0,Region_0
USW00093805,"TALLAHASSEE REGIONAL AIRPORT, FL US",2000-10-10,51.0,Region_0
